"title","link","image","director","country","year","description"
"In the Mouth of Madness","https://www.criterionchannel.com/in-the-mouth-of-madness","https://vhx.imgix.net/criterionchannelchartersu/assets/7bea9059-fcac-4ade-82ec-0ef3548d295b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","John Carpenter","United States,","1995","Directed by John Carpenter • 1994 • United States
Starring Sam Neill, Julie Carmen, Jürgen Prochnow

Imagine a novel so overwhelmingly hypnotic, so tremendously horrifying that it paralyzes its audience with fear and turns its most sensible readers insane. When Sutter Cane, the author of this disturbing bestseller, disappears, an insurance investigator (Sam Neill) hired to find him discovers far more than he could ever imagine in an eerie town that seems to be ripped straight from the pages of one of Cane’s books. The final installment of John Carpenter’s Apocalypse Trilogy (preceded by THE THING and PRINCE OF DARKNESS) is a spellbinding slip through the cracks between reality and the terrifying unknown."
"In the Realm of the Senses","https://www.criterionchannel.com/in-the-realm-of-the-senses","https://vhx.imgix.net/criterionchannelchartersu/assets/929674fe-810c-47d2-a101-7349eb773ef2.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Nagisa Oshima","Japan,","1976","Directed by Nagisa Oshima • 1976 • Japan
Starring Tatsuya Fuji, Eiko Matsuda

IN THE REALM OF THE SENSES (AI NO CORRIDA), by the always provocative Japanese director Nagisa Oshima, remains one of the most controversial films of all time. Based on a true incident, it graphically depicts the all-consuming, transcendent—but ultimately destructive—love of a man and a woman (Tatsuya Fuji and Eiko Matsuda) living in an era of ever escalating imperialism and governmental control. Less a work of pornography than of politics, IN THE REALM OF THE SENSES is a brave, taboo-breaking milestone, still censored in its own country. WARNING: THIS FILM IS SEXUALLY EXPLICIT AND INCLUDES DEPICTIONS OF HARM AGAINST CHILDREN"
"In the Rivers of Mercy Angst","https://www.criterionchannel.com/in-the-rivers-of-mercy-angst","https://vhx.imgix.net/criterionchannelchartersu/assets/66955a3f-fb8c-4c16-95c4-09a53172996a.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ayoka Chenzira","United States,","1997","Directed by Ayoka Chenzira • 1997 • United States
Starring Dilma, Thomas Pinnock, Olga M. Campbell

In this magical-realist tale, a woman fights to free herself from a malevolent spirit known as the Keeper of Memory."
"Intimate Lighting","https://www.criterionchannel.com/intimate-lighting","https://vhx.imgix.net/criterionchannelchartersu/assets/1885ef6f-ca98-42f7-87a0-d12e1fce647b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ivan Passer","Czechoslovakia,","1965","Directed by Ivan Passer • 1965 • Czechoslovakia
Starring Zdenek Bezusek, Karel Blazek, Vera Kresadlová

One of the most beloved films of the Czechoslovak New Wave, this digressive, easygoing slice of life takes place over the course of a weekend in a provincial town where a musician returns, along with his glamorous lover, to visit an old friend. Meandering and consistently surprising, INTIMATE LIGHTING skirts the demands of plot in favor of subtler shades of mood. The only feature that Ivan Passer (CUTTER’S WAY) directed before decamping to Hollywood along with his friend and collaborator Miloš Forman, it was banned for two decades by state censorship."
"Intimate Relations","https://www.criterionchannel.com/intimate-relations","https://vhx.imgix.net/criterionchannelchartersu/assets/59686a2d-169d-4cb7-9876-77f5013ab881.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Philip Goodhew","United Kingdom,","1996","Directed by Philip Goodhew • 1996 • United Kingdom
Starring Rupert Graves, Julie Walters, Laura Sadler

A most unusual love triangle takes shape in this diabolically dark comedy based on a shocking true crime. In a small town in 1950s England, sailor Harold Guppy (Rupert Graves) takes a room in the boardinghouse run by the prim-and-proper Mrs. Beasley (Julie Walters). But beneath the oh-so-respectable trimmings lurks a sordid reality as the hapless Harold finds himself ensnared between the amorous advances of both his landlady and her teenage daughter (Laura Sadler)—a precarious situation that gradually takes a treacherous turn."
"Intimidation","https://www.criterionchannel.com/intimidation","https://vhx.imgix.net/criterionchannelchartersu/assets/586e7db4-d85f-4539-aab7-2d9abbe580fb.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Koreyoshi Kurahara","Japan,","1960","Directed by Koreyoshi Kurahara • 1960 • Japan

Koreyoshi Kurahara&#39;s ingeniously plotted, pocket-size noir concerns the intertwined fates of a desperate bank manager, blackmailed for book-cooking, and his resentful but timid underling, passed over for a promotion. The marvelously moody Intimidation (Aru kyouhaku) is an elegantly stripped-down and carefully paced crime drama."
"In Vanda’s Room","https://www.criterionchannel.com/in-vanda-s-room","https://vhx.imgix.net/criterionchannelchartersu/assets/0dc8c1b1-de84-44e2-9990-67c8073fc9f0.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Pedro Costa","Portugal,","2000","Directed by Pedro Costa • 2000 • Germany, Portugal, Switzerland

For the extraordinarily beautiful second film in his Fontainhas trilogy, Pedro Costa jettisoned his earlier films&#39; larger crews to burrow even deeper into the Lisbon ghetto and the lives of its desperate inhabitants. With the intimate feel of a documentary and the texture of a Vermeer painting, IN VANDA&#39;S ROOM takes an unflinching, fragmentary look at a handful of self-destructive, marginalized people, but is centered around the heroin-addicted Vanda Duarte. Costa presents the daily routines of Vanda and her neighbors with disarming matter-of-factness, and through his camera, individuals whom many would deem disposable become vivid and vital. This was Costa&#39;s first use of digital video, and the evocative images he created remain some of the medium&#39;s most astonishing."
"Invasion of Astro-Monster","https://www.criterionchannel.com/invasion-of-astro-monster","https://vhx.imgix.net/criterionchannelchartersu/assets/4f47e054-5fc5-42c9-a485-0b7a527e392a-ddd84c28.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ishiro Honda","Japan,","1965","Directed by Ishiro Honda • 1965 • Japan

Aliens from Planet X make an irresistible offer to the people of Earth: let them borrow Godzilla and Rodan to help defeat King Ghidorah, and in return they will provide a cure for all known human disease. But the aliens’ duplicity is soon revealed, as they deploy all three monsters in their quest to conquer Earth. This retro romp, featuring American star Nick Adams, stands as a high point in the Showa Godzilla series."
"Invention for Destruction","https://www.criterionchannel.com/invention-for-destruction","https://vhx.imgix.net/criterionchannelchartersu/assets/9bc60775-0447-4c0d-95c0-a9ed5e2ff47b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Karel Zeman","Czechoslovakia,","1958","Directed by Karel Zeman • 1958 • Czechoslovakia
Starring Lubor Tokoš, Arnošt Navrátil, František Šlégr

This eye-popping escapade revolves around a scientist and his doomsday machine—and the pirates who will stop at nothing to gain possession of it. Freely adapting the fiction of Jules Verne, and inspired by Victorian line engravings, Karel Zeman surrounds his actors with animated scenery of breathtaking intricacy and complexity, constructing an impossibly vivid proto-steampunk world. Released abroad at the turn of the 1960s, INVENTION FOR DESTRUCTION went on to become one of the most internationally successful Czechoslovak films of all time."
"Invoking Justice","https://www.criterionchannel.com/invoking-justice","https://vhx.imgix.net/criterionchannelchartersu/assets/376003d7-6307-4b42-b7a5-18466b8e75ec.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Deepa Dhanraj","India,","2011","Directed by Deepa Dhanraj • 2011 • India

In Southern India, many family disputes are settled by Jamaats—all-male bodies that apply Islamic Sharia law to cases without allowing women to be present, even to defend themselves. Recognizing this fundamental inequity, a group of women in 2004 established a women’s Jamaat, which soon became a network of 12,000 members spread over twelve districts. Despite enormous resistance, they have been able to settle more than 8,000 cases to date, ranging from divorce to domestic abuse to brutal murders and more. Award-winning filmmaker Deepa Dhanraj (SOMETHING LIKE A WAR) follows several such cases, shining a light on how the women’s Jamaat has acquired power through both communal education and the leaders’ persistent, tenacious, and compassionate investigation of the crimes."
"Involuntary","https://www.criterionchannel.com/involuntary","https://vhx.imgix.net/criterionchannelchartersu/assets/caaadd06-5141-4338-b19f-7a73ba93478d.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ruben Östlund","Sweden,","2008","Directed by Ruben Östlund • 2008 • Sweden
Starring Villmar Björkman, Linnea Cart-Lamy, Leif Edlund

Ruben Östlund explores uneasy social dynamics through five darkly humorous, profoundly unsettlingly vignettes in his multichapter sophomore feature, which he has called “a tragic comedy or a comic tragedy.” From a party host too proud to treat a nasty fireworks injury to a teacher placed in the middle of an uncomfortable situation when she observes a colleague mistreating a student, INVOLUNTARY is a fearless expression of Östlund’s recurring interest in issues of public morality, codes of masculinity, and the tension between the individual and the group."
"In Which We Serve","https://www.criterionchannel.com/in-which-we-serve","https://vhx.imgix.net/criterionchannelchartersu/assets/21c7fe94-3b76-43ef-8b0e-a2f289624214.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","David Lean and Noël Coward","United Kingdom,","1942","Directed by David Lean and Noël Coward • 1942 • United Kingdom
Starring Noël Coward, Bernard Miles, John Mills

In the midst of World War II, the renowned playwright Noël Coward engaged a young film editor named David Lean to help him realize his vision for an action drama about a group of Royal Navy sailors (roles that would be filled by Coward himself, Bernard Miles, and John Mills, among others) fighting the Germans in the Mediterranean. Coward and Lean ended up codirecting the large-scale project—an impressive undertaking, especially considering that neither of them had directed for the big screen before (this would be Coward’s only such credit). Cutting between a major naval battle and flashbacks to the men’s lives before they left home, IN WHICH WE SERVE (an Oscar nominee for best picture) was a major breakthrough for both filmmakers and a sensitive and stirring piece of propaganda."
"I Remember: A Film About Joe Brainard","https://www.criterionchannel.com/i-remember-a-film-about-joe-brainard","https://vhx.imgix.net/criterionchannelchartersu/assets/884b49bd-b7b6-4950-9aa5-0b09ceb5bc08.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Matt Wolf","United States,","2012","Directed by Matt Wolf • 2012 • United States

Modesty, whimsy, and clarity of design grace the work of Joe Brainard, an artist and writer whose evocations of memory and desire perhaps found their greatest expression in his memoir-poem “I Remember.” Here, filmmaker Matt Wolf returns to this classic work, creating an archival montage that combines Brainard’s own readings with an interview with his lifelong friend and collaborator, the poet Ron Padgett. The result is an inventive biography of Brainard, and an elliptical dialogue about friendship, nostalgia, and the strange wonders of memory."
"Iris","https://www.criterionchannel.com/iris","https://vhx.imgix.net/criterionchannelchartersu/assets/058b2b60-ac7b-4eb3-a088-116a250fb0e2.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Hal Hartley","United States,","1994","Directed by Hal Hartley • 1994 • United States
Starring Parker Posey, Sabrina Lloyd

Parker Posey and Sabrina Lloyd star in an experimental short set to the titular song by the Breeders."
"Irma Vep","https://www.criterionchannel.com/irma-vep","https://vhx.imgix.net/criterionchannelchartersu/assets/47838476-e2c6-4808-ba73-4e94811f5438.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Olivier Assayas","France,","1996","Directed by Olivier Assayas • 1996 • France
Starring Maggie Cheung, Jean-Pierre Léaud, Nathalie Richard

Olivier Assayas’s live-wire international breakthrough stars a magnetic Maggie Cheung as a version of herself: a Hong Kong action movie star who arrives in Paris to play the latex-clad lead in a remake of Louis Feuillade’s classic 1915 crime serial LES VAMPIRES. What she finds is a behind-the-scenes tangle of barely controlled chaos as egos clash, romantic attractions simmer, and an obsessive director (a cannily cast Jean-Pierre Léaud) drives himself to the brink to realize his vision. Blending blasts of silent cinema, martial arts flicks, and the music of Sonic Youth and Ali Farka Touré into a hallucinatory swirl of postmodern cool, Assayas composes a witty reflection on the nineties French film industry and the eternal tension between art and commercial entertainment."
